,model,af_plddt_avg,pairwise_gdt,pairwise_tmscore,pairwise_cad_score,pairwise_lddt,enqa,gcpnet_ema,deeprank3_cluster,deeprank3_singleqa,deeprank3_singleqa_lite,gate
53,deepmsa_dMSA_hms_3,0.83483,0.8613708542713566,0.8654668341708543,0.7492573819095477,0.8013316582914575,0.7354,0.7664171457290649,0.756234557128292,0.757106,0.758737,0.8036072945594788
54,deepmsa_dMSA_hms_4,0.8265041,0.8625618090452263,0.8650577889447236,0.7455695326633166,0.8037939698492461,0.7266,0.7425990700721741,0.766857415793293,0.775431,0.764443,0.7985466241836547
55,deepmsa_dMSA_jac_0,0.8541192,0.9307668341708543,0.9322266331658292,0.8330690502512562,0.8887889447236182,0.778,0.7913873791694641,0.961157446104952,0.771004,0.78321,0.8221466708183289
56,deepmsa_dMSA_jac_1,0.8538383,0.9269628140703516,0.9281150753768845,0.829752216080402,0.8820351758793971,0.7856,0.80558180809021,0.934682967603266,0.747447,0.761237,0.8291949975490571
57,deepmsa_dMSA_jac_2,0.8361225,0.8764361809045225,0.876735175879397,0.779264311557789,0.8339798994974871,0.7407,0.7572370171546936,0.809286849332684,0.801901,0.802883,0.812087813615799
58,deepmsa_dMSA_jac_3,0.83270085,0.8758939698492461,0.8759869346733669,0.774318135678392,0.8307587939698491,0.7305,0.7599653601646423,0.815025397496073,0.828273,0.809988,0.8148408198356629
59,deepmsa_dMSA_jac_4,0.82702166,0.8613291457286432,0.8636341708542714,0.7471058090452262,0.8032663316582914,0.7397,0.7479279637336731,0.761741175173833,0.770793,0.771567,0.801666624546051
60,deepmsa_q3JGI_0,0.8620342,0.9213236180904523,0.9227361809045227,0.8208984673366835,0.8795527638190955,0.804,0.8144205808639526,0.927906474754062,0.779075,0.802051,0.8296948885917665
61,deepmsa_q3JGI_1,0.86143667,0.9297100502512563,0.931035175879397,0.8272932763819095,0.8858391959798995,0.814,0.7950900793075562,0.968882326465752,0.781855,0.8092,0.8300308132171631
62,deepmsa_q3JGI_2,0.857385,0.9215874371859298,0.9224160804020101,0.8117409849246232,0.8747989949748742,0.801,0.8094937205314636,0.932836712011683,0.801226,0.792419,0.8333881509304047
63,deepmsa_q3JGI_3,0.8531649,0.9164809045226131,0.9170608040201004,0.8122257587939699,0.8729748743718592,0.805,0.8096690773963928,0.928115441493906,0.798276,0.803031,0.8310454869270325
64,deepmsa_q3JGI_4,0.8512001,0.9182402010050253,0.9188572864321608,0.8112056130653266,0.8727638190954774,0.804,0.8027921319007874,0.923433208718735,0.806,0.800338,0.8322836375236511
65,deepmsa_q3JGI_hms_0,0.8550367,0.9289562814070352,0.9295291457286431,0.8248606934673367,0.8830100502512563,0.8066,0.7852843999862671,0.973548484876319,0.788306,0.794088,0.8273619365692138
